,CountryName,Date,total_cases,QGDP,StringencyIndex
0,Australia,20200220,15,1236051,19.44
1,France,20200220,12,2915678,5.56
2,Finland,20200220,1,253123,13.89
5,Italy,20200220,3,2333068,19.44
6,Japan,20200220,95,5250698,25
10,Canada,20200220,8,1748979,2.78
11,Spain,20200220,2,1806035,11.11
12,Sweden,20200220,1,535355,5.56
13,Germany,20200220,16,4178138,11.11
14,United States,20200220,14,20103035,5.56
15,Belgium,20200220,1,562763,11.11
16,United Kingdom,20200220,22,3023244,11.11
17,Costa Rica,20200611,1538,97911,72.22
18,Luxembourg,20200611,4052,68160,41.67
19,Lithuania,20200611,1747,99771,50.93
20,Latvia,20200611,1094,55025,50
21,Austria,20200611,17034,454904,50
22,Denmark,20200611,12035,306998,57.41
23,Japan,20200611,17179,5266778,28.7
24,United Kingdom,20200611,269222,2941643,73.15
25,Italy,20200611,236142,2199622,67.59
26,Belgium,20200611,59711,545102,51.85
27,Israel,20200611,18667,350423,75
28,United States,20200611,2021646,19840975,72.69
29,Ireland,20200611,25238,432944,72.22
30,Finland,20200611,7064,252088,44.44
31,Iceland,20200611,1807,18764,39.81
32,Hungary,20200611,4039,312216,61.11
33,Greece,20200611,3088,296402,58.33
34,Australia,20200611,7289,1232421,60.19
35,France,20200611,195097,2749568,72.22
36,Estonia,20200611,1965,45069,37.96
37,Mexico,20200611,133974,2349930,72.69
38,Netherlands,20200611,48328,925538,62.96
39,Germany,20200611,186691,4104437,59.72
40,Slovenia,20200611,1488,73927,39.81
41,Spain,20200611,242707,1708668,57.41
42,Portugal,20200611,35910,330737,60.65
43,Chile,20200611,186698,437969,78.24
44,Turkey,20200611,174023,2383512,63.89
45,Poland,20200611,28201,1230073,53.7
46,Canada,20200611,99118,1711248,70.83
47,Norway,20200611,8608,330722,43.52
48,New Zealand,20200611,1504,198143,22.22
49,Colombia,20200611,45212,678287,87.04
50,Sweden,20200611,49030,530926,64.81
51,Switzerland,20200611,31044,585864,46.3
52,Greece,20200914,13420,254455,61.11
53,Germany,20200914,263222,3694148,49.54
54,Hungary,20200914,13153,267164,40.74
55,Switzerland,20200914,47436,549803,43.06
56,United States,20200914,6556144,18067737,62.5
57,Iceland,20200914,2168,17311,37.96
58,Sweden,20200914,86505,489142,55.56
59,Spain,20200914,593730,1407052,60.65
60,Turkey,20200914,292878,2126811,73.61
61,Slovenia,20200914,3749,66948,50
62,Mexico,20200914,671716,1932051,67.13
63,Israel,20200914,161025,318429,37.96
64,United Kingdom,20200914,371758,2366096,65.74
65,Portugal,20200914,64596,280301,60.65
66,Japan,20200914,75916,4842925,35.19
67,Poland,20200914,74529,1116704,36.11
68,Norway,20200914,12276,315311,37.96
69,Latvia,20200914,1477,50998,41.67
70,New Zealand,20200914,1801,179831,48.61
71,Luxembourg,20200914,7244,63935,47.22
72,Netherlands,20200914,83948,848015,50.93
73,Ireland,20200914,31192,418580,67.13
